id,name,body,lng,lat,etc
0,笠間稲荷神社,〒309-1611 茨城県笠間市笠間1番地,140.2541036,36.3860257,0
1,笠間日動美術館,,140.2582756,36.3845443,0
2,りとるくう,,140.2561757,36.3848658,0
3,ギャラリー舞台,,140.260499,36.376273,0
4,グラス・ギャラリー・SUMITO,,140.2585632,36.3728647,0
5,ギャラリー曜燿,,140.259416,36.371398,0
6,スペース・ニコ,,140.260913,36.369748,0
7,回廊ギャラリー門,,140.259074,36.371282,0
8,笠間芸術の森公園,,140.2664301,36.3732223,0
9,春風萬里荘,,140.251,36.364429,0
10,笠間つつじ公園,,140.2623839,36.3868298,0
11,合気神社,,140.2813478,36.2942323,0
12,愛宕神社,,140.2545897,36.291654,0
13,あたご天狗の森,,140.2500531,36.2890356,0
14,陶芸の丘屋外ステージ,,140.2635177,36.3712256,0
15,北山公園,,140.2883292,36.362877,0
16,西念寺,,140.2025778,36.3644946,0
17,稲田神社,,140.2065688,36.3685456,0
18,石切山脈,,140.2046915,36.3750975,0
19,常陸国 出雲大社,,140.18425,36.354084,0
20,茨城県陶芸美術館,,140.263174,36.3724577,0
21,筑波海軍航空隊・記念館,,140.3100573,36.3329578,0
22,南山展望台,,140.2382597,36.2831116,0
23,屏風岩,,140.2218219,36.3012598,0
24,楞厳寺,,140.204054,36.402197,0
25,国指定重要文化財 楞厳寺山門,,140.2082482,36.4037973,0
26,笠間市 笠間の家,,140.2559107,36.372398,0
27,フランス料理ポーム・ド・パン,,140.257957,36.38263,0
28,そば切り一兵衛,,140.2613685,36.3747507,0
29,手打百藝・泰然,,140.2528943,36.3745449,0
30,はらだ味の店,,140.251322,36.3828856,0
31,Hige Boss,,140.2546339,36.3843743,0
32,カフェ ナナイロ,,140.2522759,36.3838841,0
33,かわすみラーメン店,,140.2515108,36.3847131,0
34,アール ハナ,,140.256259,36.3848998,0
35,庭カフェＫＵＬＡ,,140.2535134,36.384798,0
36,門前酒場マルトミ,,140.2548677,36.3848202,0
37,西洋割烹 かるにえ,,140.2547938,36.3841633,0
38,たちばな,,140.254588,36.38491,0
39,チェルキオ,,140.256072,36.378472,0
40,ふぐ膳,,140.25098,36.382899,0
41,洋食屋ＳＵＮ,,140.2507611,36.3805027,0
42,むぎとろ量深,,140.2546715,36.3862019,0
43,笠間苑,,140.2464508,36.3776836,0
44,ランチ アンド カフェ 陶之助プラス,,140.2841381,36.3908766,0
45,湊屋本店,,140.2517736,36.3825753,0
46,鍛冶屋,,140.2568283,36.3862343,0
47,コッコロ（coccolo）,,140.2511109,36.3827661,0
48,森の石窯パン屋さん,,140.2616041,36.3671204,0
49,Cafe WASUGAZEN 笠間店,,140.260152,36.375264,0
50,Cafe Gallery せらヴぃ,,140.2591269,36.3788029,0
51,手打ちそば処 柊,,140.2601325,36.3758089,0
52,美食亭鮨あい澤,,140.259063,36.372398,0
53,グランパとグランマのお店,,140.260196,36.3700169,0
54,クラフトカフェ,,140.261689,36.3723092,0
55,cafe 柚の木,,140.2771449,36.3727459,0
56,蕎麦、狸庵 つたや,,140.2531579,36.3850937,0
57,シュペール,,140.2563828,36.384284,0
58,昭光亭,,140.250642,36.380577,0
59,山桜,,140.254539,36.363868,0
60,森のcafe さりょう,,140.2507155,36.3667249,0
61,彩美亭,,140.271213,36.295841,0
62,アルモニ,,140.283441,36.3909689,0
63,吉,,140.2880175,36.2927058,0
64,雪みるく,,140.2565414,36.3093808,0
65,和食キッチン 晴人,,140.3193255,36.3232277,0
66,いばらき食彩香寿亭,,140.317875,36.329344,0
67,やま膳,,140.306387,36.348572,0
68,割烹天芳,,140.254577,36.383433,0
69,そば家 和味（なごみ）,,140.2203676,36.3787244,0
70,ピッツェリア・マルビーナ,,140.247614,36.3872017,0
71,モン・ラパン,,140.256941,36.38896,0
72,ドロップイン,,140.26021,36.375978,0
73,言の葉,,140.2848827,36.3859917,0
74,そば処 結ノ庵,,140.2220112,36.3449652,0
75,なかた屋,,140.274055,36.4150047,0
76,ちゃぼうず,,140.288804,36.407786,0
77,ティーサロンモンリヴル,,140.219109,36.400369,0
78,湊屋売店,,140.2532669,36.3848267,0
79,笠間森のレストラン Monomi,,140.2596625,36.3763367,0
80,パン ド ムシャムシャ アンド コーヒー,,140.2561227,36.3568336,0
81,中華食堂 えん,,140.2532142,36.3848494,0
82,トルテュ,,140.2803653,36.3510681,0
83,のざわ,,140.2113297,36.3700192,0
84,佐白山のとうふ屋,,140.261499,36.379281,0
85,<![CDATA[Nobu's Gallery&cafe]]>,,140.2728457,36.3566865,0
86,陶器林,,140.2578809,36.3700807,0
87,zakka LE MIDI (ラ・ミディ),,140.2557409,36.3844605,0
88,（有）松島製菓,,140.2526132,36.3847511,0
89,グリュイエール,,140.246339,36.373906,0
90,<![CDATA[アルパカ専門店 T'IKA 笠間ギャラリーロード店]]>,,140.2586167,36.3719374,0
91,ほんまや,,140.254972,36.384835,0
92,東風舎,,140.2578709,36.3717476,0
93,笠間工芸の丘,,140.261463,36.372448,0
94,（株）かまげん,,140.260896,36.369332,0
95,（株）笹目宗兵衛商店,,140.25373,36.384313,0
96,きらら館,,140.261369,36.368724,0
97,ポーターハウス,,140.2720484,36.3570058,0
98,岩間の栗や・小田喜商店,,140.2876564,36.2974774,0
99,ふる川製菓,,140.257863,36.391371,0
100,お菓子の店くりーむ | 茨城県笠間市,,140.313058,36.350164,0
101,オカリーナの平本,,140.26031,36.36983,0
102,JA常陸 農産物直売所 土からのたより,,140.2930168,36.2926864,0
103,友部SA ,,140.3423013,36.3101576,0
104,（株）向山窯 笠間焼プラザ店,,140.2619946,36.3667281,0
105,大津晃窯,,140.2726592,36.3571117,0
106,磯蔵酒造（有）,,140.214154,36.367931,0
107,笠間PA ,,140.2550221,36.3440744,0
108,根本甘納豆店,,140.2534386,36.3781223,0
109,須藤本家（株）,,140.324631,36.361687,0
110,磯いちご園,,140.2599635,36.365513,0
111,スターツ笠間ゴルフ倶楽部,,140.324944,36.411817,0
112,奥田製陶所,,140.2565943,36.3705513,0
113,富士カントリー笠間倶楽部,,140.3370593,36.4208576,0
114,あそびの杜,,140.2682916,36.3706307,0
115,宍戸ヒルズカントリークラブ,,140.2798393,36.3254257,0
116,笠間市総合公園,,140.2415193,36.3943975,0
117,笠間クラインガルテン,,140.2215232,36.3450392,0
118,友部湯崎湖,,140.326167,36.308671,0
119,檜佐陶工房,,140.257082,36.37064,0
120,南指原観光いちご園,,140.2229426,36.3454975,0
121,笠間市 いこいの家はなさか,,140.2925458,36.3348749,0
